"phylum","class","order","family","genus","species","early_interval","late_interval","max_ma","min_ma","midpoint","lng","lat"
"Chordata","Aves","Suliformes","Phalacrocoracidae","Phalacrocorax","Phalacrocorax carbo","Pleistocene","",2.588,0.0117,1.29985,33,24.5
"Chordata","Aves","Pelecaniformes","Ardeidae","Ardea","Ardea cinerea","Pleistocene","",2.588,0.0117,1.29985,33,24.5
"Chordata","Aves","Anseriformes","Anatidae","Anser","Anser albifrons","Pleistocene","",2.588,0.0117,1.29985,33,24.5
"Chordata","Aves","Anseriformes","Anatidae","Tadorna","Tadorna ferruginea","Pleistocene","",2.588,0.0117,1.29985,33,24.5
"Chordata","Aves","Anseriformes","Anatidae","Anas","Anas platyrhynchos","Pleistocene","",2.588,0.0117,1.29985,33,24.5
"Chordata","Aves","Anseriformes","Anatidae","Mareca","Mareca penelope","Pleistocene","",2.588,0.0117,1.29985,33,24.5
"Chordata","Aves","Anseriformes","Anatidae","Aythya","Aythya ferina","Pleistocene","",2.588,0.0117,1.29985,33,24.5
"Chordata","Aves","Anseriformes","Anatidae","Mergus","Mergus merganser","Pleistocene","",2.588,0.0117,1.29985,33,24.5
"Chordata","Aves","Anseriformes","Anatidae","Mergus","Mergus serrator","Pleistocene","",2.588,0.0117,1.29985,33,24.5
"Chordata","Aves","Anseriformes","Anatidae","Mergellus","Mergellus albellus","Pleistocene","",2.588,0.0117,1.29985,33,24.5
"Chordata","Aves","Anseriformes","Anatidae","Anas","Anas crecca","Pleistocene","",2.588,0.0117,1.29985,33,24.5
